name,country,genre,date_of_birth,date_of_death
Palokë Kurti,ALBANIA,Folk and Contemporary,1858,1920
Kristo Kono,ALBANIA,Folk and Contemporary,1907,1991
Rexho Mulliqi,ALBANIA,Folk and Contemporary,1923,1982
Avni Mula,ALBANIA,Folk and Contemporary,1928,
Esat Rizvanolli,ALBANIA,Folk and Contemporary,1936,
Agim Krajka,ALBANIA,Folk and Contemporary,1937,
Zef Çoba,ALBANIA,Folk and Contemporary,1951,
Vasil Tole,ALBANIA,Folk and Contemporary,born 1963,
Pirro Çako,ALBANIA,Folk and Contemporary,1965,
Artan Tushi,ALBANIA,Folk and Contemporary,1971,
Flori Mumajesi,ALBANIA,Folk and Contemporary,1982,
Lorenc Antoni,ALBANIA,Classical and Film,1909,1991
Prenkë Jakova,ALBANIA,Classical and Film,1917,1969
Nikolla Zoraqi,ALBANIA,Classical and Film,1921,1991
Mustafa Krantja,ALBANIA,Classical and Film,1921,2002
Simon Gjoni,ALBANIA,Classical and Film,1925,1991
Tonin Harapi,ALBANIA,Classical and Film,1925,1991
Tish Daija,ALBANIA,Classical and Film,1926,2004
Çesk Zadeja,ALBANIA,Classical and Film,1927,1997
Feim Ibrahimi,ALBANIA,Classical and Film,1935,1997
Gjon Simoni,ALBANIA,Classical and Film,1936,1999
Limoz Dizdari,ALBANIA,Classical and Film,1942,
Lejla Agolli,ALBANIA,Classical and Film,born 1950,
Aleksandër Peçi,ALBANIA,Classical and Film,1951,
David Tukiçi,ALBANIA,Classical and Film,1956,
Thomas Simaku,ALBANIA,Classical and Film,1958,
Antonio Agri,ARGENTINA,Classical,1932,1998
Amancio Jacinto Alcorta,ARGENTINA,Classical,1805,1862
Eduardo Alonso-Crespo,ARGENTINA,Classical,born 1956,
Rodolfo Arízaga,ARGENTINA,Classical,1926,1985
Hector Ayala,ARGENTINA,Classical,1914,1990
Luis Bacalov,ARGENTINA,Classical,born 1933,
Esteban Benzecry,ARGENTINA,Classical,born 1970,
Felipe Boero,ARGENTINA,Classical,1884,1958
Jose Antonio Bottiroli,ARGENTINA,Classical,1920,1990
José Bragato,ARGENTINA,Classical,born 1915,
Carlos López Buchardo,ARGENTINA,Classical,1881,1948
Facundo Cabral,ARGENTINA,Classical,born 1937,
Sergio Calligaris,ARGENTINA,Classical,born 1941,
Julio de Caro,ARGENTINA,Classical,1899,1980
Fernando González Casellas,ARGENTINA,Classical,1925,1998
Graciela Castillo,ARGENTINA,Classical,born 1940,
Juan José Castro,ARGENTINA,Classical,1895,1968
Alejandro Civilotti,ARGENTINA,Classical,born 1959,
Ellen C. Covito,ARGENTINA,Classical,born 1974,
Mario Davidovsky,ARGENTINA,Classical,born 1934,
Hilda Dianda,ARGENTINA,Classical,born 1925,
Oscar Edelstein,ARGENTINA,Classical,born 1953,
Juan Pedro Esnaola,ARGENTINA,Classical,1808,1878
Juan Falú,ARGENTINA,Classical,born 1948,
Juan de Dios Filiberto,ARGENTINA,Classical,1885,1964
Roberto Firpo,ARGENTINA,Classical,1884,1969
Carlos Gardel,ARGENTINA,Classical,1890,1935
Alberto Ginastera,ARGENTINA,Classical,1916,1983
Osvaldo Golijov,ARGENTINA,Classical,born 1960,
Carlos Guastavino,ARGENTINA,Classical,1912,2000
Emilio Kauderer,ARGENTINA,Classical,born 1950,
Mauricio Kagel,ARGENTINA,Classical,1931,2008
Marcelo Koc,ARGENTINA,Classical,1918,2006
Maria Teresa Luengo,ARGENTINA,Classical,born 1940,
Enrique Maciel,ARGENTINA,Classical,1897,1962
Claudio Maldonado,ARGENTINA,Classical,born 1980,
Rosita Melo,ARGENTINA,Classical,1897,1981
Rosendo Mendizabal,ARGENTINA,Classical,1868,1913
Silvina Milstein,ARGENTINA,Classical,born 1956,
Ricardo Montaner,ARGENTINA,Classical,born 1957,
Jorge Morel,ARGENTINA,Classical,born 1931,
Mariano Mores,ARGENTINA,Classical,born 1922,
Nelly Moretto,ARGENTINA,Classical,1925,1978
Ettore Panizza,ARGENTINA,Classical,1875,1967
Graciela Paraskevaidis,ARGENTINA,Classical,born 1940,
Marcela Pavia,ARGENTINA,Classical,born 1957,
Juan Carlos Paz,ARGENTINA,Classical,1901,1972
Astor Piazzolla,ARGENTINA,Classical,1921,1992
Osvaldo Pugliese,ARGENTINA,Classical,1905,1995
Máximo Diego Pujol,ARGENTINA,Classical,born 1957,
Ariel Ramírez,ARGENTINA,Classical,1921,2010
Waldo de los Ríos,ARGENTINA,Classical,1934,1977
Zenón Rolón,ARGENTINA,Classical,1856,1902
Enrique Saborido,ARGENTINA,Classical,1877,1941
Juan María Solare,ARGENTINA,Classical,born 1966,
Atilio Stampone,ARGENTINA,Classical,born 1926,
Alicia Terzian,ARGENTINA,Classical,born 1934,
Juan Carlos Tolosa,ARGENTINA,Classical,born 1966,
Terig Tucci,ARGENTINA,Classical,1897,1973
Irma Urteaga,ARGENTINA,Classical,born 1929,
Alberto Williams,ARGENTINA,Classical,1862,1952
Alain Altinoglu,ARMENIA,no_info,born 1975,
Robert Amirkhanyan,ARMENIA,no_info,born 1939,
Izabella Arazova,ARMENIA,no_info,born 1936,
Alexander Arutiunian,ARMENIA,no_info,1920-2012,
Sahan Arzruni,ARMENIA,no_info,born 1943,
Sergei Aslamazyan,ARMENIA,no_info,1897-1978,
Artur Avanesov,ARMENIA,no_info,born 1980,
Khachatur Avetisyan,ARMENIA,no_info,1926-1996,
Artemi Ayvazyan,ARMENIA,no_info,1902-1975,
Arno Babajanian,ARMENIA,no_info,1921-1983,
Vahram Babayan,ARMENIA,no_info,born 1948,
Edvard Baghdasaryan,ARMENIA,no_info,1922-1987,
Sergey Balasanian,ARMENIA,no_info,1902-1982,
Sargis Barkhudaryan,ARMENIA,no_info,1887-1973,
Hampartzoum Berberian,ARMENIA,no_info,1905-1999,
Schahan Berberian,ARMENIA,no_info,1891-1956,
Gilbert Biberian,ARMENIA,no_info,born 1944,
Gayane Chebotaryan,ARMENIA,no_info,1918-1998,
Levon Chaushian,ARMENIA,no_info,born 1946,
Geghuni Hovannesi Chitchian,ARMENIA,no_info,born 1929,
Loris Ohannes Chobanian,ARMENIA,no_info,born 1933,
Tigran Chukhajian,ARMENIA,no_info,1837-1898,
Harutiun Dellalian,ARMENIA,no_info,1937-1990,
Yeghia Dndesian,ARMENIA,no_info,1834-1881,
Vyacheslav Dobrynin,ARMENIA,no_info,born 1946,
Paghtasar Dpir,ARMENIA,no_info,1683-1768,
Ohan Durian,ARMENIA,no_info,1922-2011,
Kemani Tatyos Ekserciyan,ARMENIA,no_info,1858-1913,
Stéphan Elmas,ARMENIA,no_info,1862-1937,
Angelo Ephrikian,ARMENIA,no_info,1913-1982,
Nicol Galanderian,ARMENIA,no_info,1881-1944,
Djivan Gasparyan,ARMENIA,no_info,born 1928,
Koharik Gazarossian,ARMENIA,no_info,1907-1967,
Hambarsoom Grigorian,ARMENIA,no_info,1893-1975,
Varoujan Hakhbandian,ARMENIA,no_info,1936-1977,
Tigran Hamasyan,ARMENIA,no_info,born 1987,
Harutyun Hanesyan,ARMENIA,no_info,1911-1987,
Eduard Hayrapetyan,ARMENIA,no_info,born 1949,
Edgar Hovhannisyan,ARMENIA,no_info,1930-1998,
Gagik Hovunts,ARMENIA,no_info,born 1930,
Jivani,ARMENIA,no_info,1846-1909,
Mihail Jora,ARMENIA,no_info,1891-1971,
Sirvart Kalpakyan Karamanuk,ARMENIA,no_info,1912-2008,
Andrey Kasparov,ARMENIA,no_info,born 1966,
Yuri Kasparov,ARMENIA,no_info,born 1955,
Rita Kassabian,ARMENIA,no_info,born ?,
Aram Khachaturian,ARMENIA,no_info,1903,1978
Karen Khachaturian,ARMENIA,no_info,1920-2011,
Khosrovidukht,ARMENIA,no_info,lived in 8th century,
Adam Khudoyan,ARMENIA,no_info,1921-2000,
Komitas,ARMENIA,no_info,1869-1935,
Krikor Kalfayan,ARMENIA,no_info,1873-1949,
Hampartsoum Limondjian,ARMENIA,no_info,1768-1839,
Edgar Manas,ARMENIA,no_info,1875-1964,
Tigran Mansurian,ARMENIA,no_info,1939,
Edward Manukyan,ARMENIA,no_info,born 1981,
Mekhitar of Ayrivank,ARMENIA,no_info,1230/35-1297/1300,
Romanos Melikian,ARMENIA,no_info,1883-1935,
Hrachya Melikyan,ARMENIA,no_info,1947-2006,
Edvard Mirzoyan,ARMENIA,no_info,1921-2012,
Georgi Movsesyan,ARMENIA,no_info,1945-2011,
Vazgen Muradian,ARMENIA,no_info,1921-2018,
Nerses IV the Gracious,ARMENIA,no_info,1102-1173,
Konstantin Orbelyan,ARMENIA,no_info,1928-2014,
Stepan Papelyan,ARMENIA,no_info,1875-1960,
Boris Parsadanian,ARMENIA,no_info,1925-1997,
Krzysztof Penderecki,ARMENIA,no_info,1933,2020
Konstantin Petrossian,ARMENIA,no_info,born 1946,
Michel Petrossian,ARMENIA,no_info,born 1973,
Sahakdukht,ARMENIA,no_info,lived in 8th century,
Vardan Sardaryan,ARMENIA,no_info,born 1962,
Ruben Sargsyan,ARMENIA,no_info,1945-2013,
Vahram Sargsyan,ARMENIA,no_info,born 1981,
Ghazaros Lazar Saryan,ARMENIA,no_info,1920-1998,
Aram Satian,ARMENIA,no_info,born 1947,
David Satian,ARMENIA,no_info,born 1979,
Vache Sharafyan,ARMENIA,no_info,born 1966,
Petros Shoujounian,ARMENIA,no_info,born 1957,
Alexander Spendiaryan,ARMENIA,no_info,1871-1928,
Stepan Rostomyan,ARMENIA,no_info,born 1956,
Grikor Suni,ARMENIA,no_info,1876-1939,
Mikael Tariverdiev,ARMENIA,no_info,1931-1996,
Ohannes Tchekidjian,ARMENIA,no_info,born 1929,
Avet Terterian,ARMENIA,no_info,1929-1994,
Armen Tigranian,ARMENIA,no_info,1879-1950,
Nikoghayos Tigranian,ARMENIA,no_info,1856-1951,
Loris Tjeknavorian,ARMENIA,no_info,born 1937,
Onno Tunç,ARMENIA,no_info,1948-1996,
William Weiner,ARMENIA,no_info,born 1955,
Grigor Yeghiazaryan,ARMENIA,no_info,1908-1988,
Makar Yekmalyan,ARMENIA,no_info,1856-1905,
Roy Agnew,AUSTRALIA,no_info,1891,1944
David Ahern,AUSTRALIA,no_info,1947,1988
Hugo Alpen,AUSTRALIA,no_info,1842,1917
Ernie Althoff,AUSTRALIA,no_info,born 1950,
John Henry Antill,AUSTRALIA,no_info,,
Albert Arlen,AUSTRALIA,no_info,1905,1993
Martin Armiger,AUSTRALIA,no_info,1949,2019
Keith Asboe,AUSTRALIA,no_info,born 1929,
Tony Backhouse,AUSTRALIA,no_info,born 1947,
Don Banks,AUSTRALIA,no_info,,
Michael Barkl,AUSTRALIA,no_info,born 1958,
Alison Bauld,AUSTRALIA,no_info,born 1944,
Betty Beath,AUSTRALIA,no_info,,
Adolphe Gustave Beutler,AUSTRALIA,no_info,1887,5 June 1927
Ross Bolleter,AUSTRALIA,no_info,born 1946,
Anne Elizabeth Boyd,AUSTRALIA,no_info,,
Philip Bračanin,AUSTRALIA,no_info,,
May (or Mary) Hannah Brahe,AUSTRALIA,no_info,1884,1956
Hooper Brewster-Jones,AUSTRALIA,no_info,1887,1949
Michael Brimer,AUSTRALIA,no_info,born 1933,
Brenton Broadstock,AUSTRALIA,no_info,born 1952,
Amanda Gabrielle Brown,AUSTRALIA,no_info,born 1965,
Colin Brumby,AUSTRALIA,no_info,,
Vera Buck,AUSTRALIA,no_info,1903,1986
Thomas,AUSTRALIA,no_info,Tom,
Warren Burt,AUSTRALIA,no_info,born 1949,
Nigel Butterley,AUSTRALIA,no_info,,
John Carmichael,AUSTRALIA,no_info,born 1930,
Leon Caron,AUSTRALIA,no_info,1850,1907
Ann Carr-Boyd,AUSTRALIA,no_info,,
Jeff Cashen,AUSTRALIA,no_info,,
Glen Carter-Varney,AUSTRALIA,no_info,born 1938,
Tristram Ogilvie Cary,AUSTRALIA,no_info,,
Nick Cave,AUSTRALIA,no_info,,
Charles Cawthorne,AUSTRALIA,no_info,1854,1925
Alice Charbonnet-Kellermann,AUSTRALIA,no_info,1858,1914
Charlie Chan,AUSTRALIA,no_info,born 1966,
Arthur Chanter,AUSTRALIA,no_info,1886,1950
Deborah Cheetham,AUSTRALIA,no_info,born 1964,
David Chesworth,AUSTRALIA,no_info,born 1958,
Andrew Chubb,AUSTRALIA,no_info,born 1975,
Zana Clarke,AUSTRALIA,no_info,born 1965,
Judith Clingan,AUSTRALIA,no_info,,
George H. Clutsam,AUSTRALIA,no_info,1866,1951
Julian Cochran,AUSTRALIA,no_info,born 1974,
Percy Code,AUSTRALIA,no_info,1888,1953
Barry Conyngham,AUSTRALIA,no_info,,
Herbert Cosgrove,AUSTRALIA,no_info,,
Vince Courtney,AUSTRALIA,no_info,,1951
Kate Crawford,AUSTRALIA,no_info,,
Ian Cresswell,AUSTRALIA,no_info,born 1968,
Ian Cugley,AUSTRALIA,no_info,,
Leah Curtis,AUSTRALIA,no_info,,
Cesare Cutolo,AUSTRALIA,no_info,1826,1867
Robert Davidson,AUSTRALIA,no_info,born 1965,
Ruby Claudia Davy,AUSTRALIA,no_info,1883,1946
Brett Dean,AUSTRALIA,no_info,born 1961,
George De Cairos Rego,AUSTRALIA,no_info,1858,1946
George Savin De Chanéet,AUSTRALIA,no_info,1861,1926
John Albert Delany,AUSTRALIA,no_info,1852,1907
Herbert De Pinna,AUSTRALIA,no_info,1880,1936
Matthew Dewey,AUSTRALIA,no_info,born 1984,
Joe Dolce,AUSTRALIA,no_info,born 1947,
Paul Doornbusch,AUSTRALIA,no_info,born 1959,
George Dreyfus,AUSTRALIA,no_info,,
Jon Drummond,AUSTRALIA,no_info,born 1969,
Catherine Duc,AUSTRALIA,no_info,,
Ross Edwards,AUSTRALIA,no_info,,
Frederick Ellard,AUSTRALIA,no_info,1824,1874
Warren Ellis,AUSTRALIA,no_info,,
Harry Lindley Evans,AUSTRALIA,no_info,,
Winsome Evans,AUSTRALIA,no_info,born 1941,
Billy Field,AUSTRALIA,no_info,,
Mary Finsterer,AUSTRALIA,no_info,born 1962,
Thomas Fitzgerald,AUSTRALIA,no_info,,
Samantha Fonti,AUSTRALIA,no_info,born 1973,
Andrew Ford,AUSTRALIA,no_info,,
Riccardo Formosa,AUSTRALIA,no_info,born 1954,
Grant Foster,AUSTRALIA,no_info,born 1945,
Jennifer Fowler,AUSTRALIA,no_info,,
Edwin Fowles,AUSTRALIA,no_info,1871-1945,
Lisa Gerrard,AUSTRALIA,no_info,born 1961,
Helen Gifford,AUSTRALIA,no_info,born 1935,
Richard Gill,AUSTRALIA,no_info,,
Paolo Giorza,AUSTRALIA,no_info,1832,1914
Peggy Glanville-Hicks,AUSTRALIA,no_info,,
Isador Goodman,AUSTRALIA,no_info,1909,1982
Eugene Goossens,AUSTRALIA,no_info,,
Christopher Gordon,AUSTRALIA,no_info,,
Tony Gould,AUSTRALIA,no_info,,
Paul Grabowsky,AUSTRALIA,no_info,born 1958,
Ron Grainer,AUSTRALIA,no_info,1922,1981
George Percy Aldridge Grainger,AUSTRALIA,no_info,,
Stuart Greenbaum,AUSTRALIA,no_info,born 1966,
Maria Grenfell,AUSTRALIA,no_info,born 1969,
Eric Gross,AUSTRALIA,no_info,,
Gordon Hamilton,AUSTRALIA,no_info,born 1982,
Ronald Hanmer,AUSTRALIA,no_info,,
Raymond Hanson,AUSTRALIA,no_info,1913,1976
Ian Keith Harris,AUSTRALIA,no_info,born 1935,
Fritz Bennicke Hart,AUSTRALIA,no_info,,
Mick Harvey,AUSTRALIA,no_info,,
Fiona Joy Hawkins,AUSTRALIA,no_info,born 1964,
Christian Heim,AUSTRALIA,no_info,born 1960,
Christian Helleman,AUSTRALIA,no_info,1880,1954
Moya Henderson,AUSTRALIA,no_info,,
Laurence Henry Hicks,AUSTRALIA,no_info,1912,1997
Francis Hartwell Henslowe,AUSTRALIA,no_info,1811,1878
Julius Herz,AUSTRALIA,no_info,1841,1898
Alfred Francis Hill,AUSTRALIA,no_info,,
Matthew Hindson,AUSTRALIA,no_info,born 1968,
David Hirschfelder,AUSTRALIA,no_info,born 1960,
Dulcie Sybil Holland,AUSTRALIA,no_info,,
Alan Holley,AUSTRALIA,no_info,born 1954,
Wilfrid Holland,AUSTRALIA,no_info,,
Charles Edward Horsley,AUSTRALIA,no_info,1822,1876
May Howlett,AUSTRALIA,no_info,,
Robert Watson Hughes,AUSTRALIA,no_info,,
Frank Hutchens,AUSTRALIA,no_info,,
Miriam Beatrice Hyde,AUSTRALIA,no_info,,
William Garnet James,AUSTRALIA,no_info,,
Graham Jenkin,AUSTRALIA,no_info,born 1938,
Alan John,AUSTRALIA,no_info,,
Anthony Linden Jones,AUSTRALIA,no_info,born 1959,
Hooper Brewster Jones,AUSTRALIA,no_info,1887,1949
David Joseph,AUSTRALIA,no_info,born 1954,
Augustus Juncker,AUSTRALIA,no_info,1855,1942
Elena Kats-Chernin,AUSTRALIA,no_info,,
Donald H. Kay,AUSTRALIA,no_info,,
Norman Kaye,AUSTRALIA,no_info,1927,2007
Horace Keats,AUSTRALIA,no_info,1895,1945
Paul Kelly,AUSTRALIA,no_info,born 1955,
Frederick Septimus Kelly,AUSTRALIA,no_info,1881,1916
Gordon Kerry,AUSTRALIA,no_info,born 1961,
Ashley Klose,AUSTRALIA,no_info,,
William Robert Knox,AUSTRALIA,no_info,,
Douglas Knehans,AUSTRALIA,no_info,born 1957,
Julian Knowles,AUSTRALIA,no_info,born 1965,
Graeme Koehne,AUSTRALIA,no_info,,
Constantine Koukias,AUSTRALIA,no_info,born 1965,
Henry Krips,AUSTRALIA,no_info,,
Lynette Lancini,AUSTRALIA,no_info,born 1970,
Brenton Langbein,AUSTRALIA,no_info,1928,1993
Guglielmo Enrico Lardelli,AUSTRALIA,no_info,1857,1910
Louis Lavater,AUSTRALIA,no_info,1867,1953
Lê Tuấn Hùng,AUSTRALIA,no_info,,
Stephen Leek,AUSTRALIA,no_info,,
Dorian Le Gallienne,AUSTRALIA,no_info,,
John Lemmone,AUSTRALIA,no_info,1861,1949
Georges Lentz,AUSTRALIA,no_info,born 1965,
Liza Lim,AUSTRALIA,no_info,,
Carl,AUSTRALIA,no_info,or Karl,
Michael Lira,AUSTRALIA,no_info,born 1975,
Alexander Frame Lithgow,AUSTRALIA,no_info,1870,1929
Jonathan Little,AUSTRALIA,no_info,,
William Lovelock,AUSTRALIA,no_info,,
David Lumsdaine,AUSTRALIA,no_info,,
Jack Lumsdaine,AUSTRALIA,no_info,1895,1948
Charles William MacCarthy,AUSTRALIA,no_info,1848,1919
Andrew MacCunn,AUSTRALIA,no_info,,
Hector Roderick MacLean,AUSTRALIA,no_info,1851,1935
Mary Mageau,AUSTRALIA,no_info,,
Raffaele Marcellino,AUSTRALIA,no_info,born 1964,
Stephen Hale Marsh,AUSTRALIA,no_info,1805,1888
Henry Marsh,AUSTRALIA,no_info,1824,1885
George Marshall-Hall,AUSTRALIA,no_info,1862,1915
Arthur Massey,AUSTRALIA,no_info,1861,1950
John Boswell Maver,AUSTRALIA,no_info,born 1932,
Mona McBurney,AUSTRALIA,no_info,1867,1932
John McAll,AUSTRALIA,no_info,born 1960,
Daniel Clive McCallum,AUSTRALIA,no_info,born 1989,
Dave McCormack,AUSTRALIA,no_info,,
Peter Dodds McCormick,AUSTRALIA,no_info,1834?,1916
Brett McKern,AUSTRALIA,no_info,born 1972,
Sir William McKie,AUSTRALIA,no_info,1901,1984
Richard Meale,AUSTRALIA,no_info,1932,2009
Sir Jonathan Mills,AUSTRALIA,no_info,,
Richard Mills,AUSTRALIA,no_info,,
Ernest Edwin Mitchell,AUSTRALIA,no_info,1860,1930
Kate Moore,AUSTRALIA,no_info,born 1979,
Stephen Moreno,AUSTRALIA,no_info,1889,1953
Graeme Morton,AUSTRALIA,no_info,,
Ian Munro,AUSTRALIA,no_info,born 1963,
William Murdoch,AUSTRALIA,no_info,1888,1942
Ronald O. Nagorcka,AUSTRALIA,no_info,born 1948,
Isaac Nathan,AUSTRALIA,no_info,1792,1864
Mike Nock,AUSTRALIA,no_info,born 1940,
Sean O'Boyle,AUSTRALIA,no_info,born 1963,
Tony O'Connor,AUSTRALIA,no_info,born 1961,
William Arundel,AUSTRALIA,no_info,Bunny,
Charles Sandys Packer,AUSTRALIA,no_info,1810,1883
Frederick Augustus Packer,AUSTRALIA,no_info,1839,1902
George Palmer,AUSTRALIA,no_info,born 1947,
"Katharine ""Kitty"" Parker",AUSTRALIA,no_info,1886,1971
Anthony Pateras,AUSTRALIA,no_info,born 1979,
Raimund Pechotsch,AUSTRALIA,no_info,,1941
James Penberthy,AUSTRALIA,no_info,1917,1999
Michael,AUSTRALIA,no_info,Mike,
Georgette Augusta Christina Peterson,AUSTRALIA,no_info,1863,1947
Barrington Somers Pheloung,AUSTRALIA,no_info,born 1954,
Linda Phillips,AUSTRALIA,no_info,1899,2002
Alfred Plumpton,AUSTRALIA,no_info,1848,1902
John Polglase,AUSTRALIA,no_info,born 1959,
Bert Rache,AUSTRALIA,no_info,,1928
Stephen Rae,AUSTRALIA,no_info,,
Alexander Rea,AUSTRALIA,no_info,1831,1909
Graeme Revell,AUSTRALIA,no_info,,
Damien Ricketson,AUSTRALIA,no_info,born 1973,
Sir Robinson,AUSTRALIA,no_info,,
John Rodgers,AUSTRALIA,no_info,,
Hermann Rosendorff,AUSTRALIA,no_info,1860,1935
David Rumsey,AUSTRALIA,no_info,1939,2017
Arline Sauer,AUSTRALIA,no_info,,
Albert Bokhare Saunders,AUSTRALIA,no_info,1880,1946
Andrew Schultz,AUSTRALIA,no_info,,
"Schramm, Paul",AUSTRALIA,no_info,1892,1953
Peter Sculthorpe,AUSTRALIA,no_info,,
Matthew Shlomowitz,AUSTRALIA,no_info,born 1975,
"Siede, Julius",AUSTRALIA,no_info,1825,1903
Thanapoom Sirichang,AUSTRALIA,no_info,born 1981,
Larry Sitsky,AUSTRALIA,no_info,,
Cezary Skubiszewski,AUSTRALIA,no_info,born 1949,
Jan Skubiszewski,AUSTRALIA,no_info,born 1981,
Joe Slater,AUSTRALIA,no_info,1872,1926
Roger Smalley,AUSTRALIA,no_info,,
Michael Sollis,AUSTRALIA,no_info,born 1985,
Benjamin Peter Speed,AUSTRALIA,no_info,born 1979,
William Stanley,AUSTRALIA,no_info,composer,
Reginald Alberto Agrati Stoneham,AUSTRALIA,no_info,1879,1942
Robert James Stove,AUSTRALIA,no_info,born 1961,
Joseph Summers,AUSTRALIA,no_info,1839,1917
May Summerbelle,AUSTRALIA,no_info,1867,1914
Margaret Sutherland,AUSTRALIA,no_info,,
Peter Tahourdin,AUSTRALIA,no_info,,
Henry Tate,AUSTRALIA,no_info,1873,1926
George Tibbits,AUSTRALIA,no_info,born 1933,
Katia Tiutiunnik,AUSTRALIA,no_info,born 1967,
Richard Tognetti,AUSTRALIA,no_info,born 1965,
George William Torrance,AUSTRALIA,no_info,1835,1907
Ernest Truman,AUSTRALIA,no_info,1870,1899
Costas Tsicaderis,AUSTRALIA,no_info,born 1945,
Joseph Twist,AUSTRALIA,no_info,born 1982,
Walter J. Turner,AUSTRALIA,no_info,1884,1946
Lindsay Vickery,AUSTRALIA,no_info,born 1965,
Carl Edward Vine,AUSTRALIA,no_info,born 1954,
Nicholas Vines,AUSTRALIA,no_info,born 1976,
Don Walker,AUSTRALIA,no_info,,
Felix Werder,AUSTRALIA,no_info,,
Martin Wesley-Smith,AUSTRALIA,no_info,,
Nigel Westlake,AUSTRALIA,no_info,born 1958,
Alfred Wheeler,AUSTRALIA,no_info,1865,1949
Gillian Whitehead,AUSTRALIA,no_info,,
Stephen Whittington,AUSTRALIA,no_info,born 1953,
Christopher Willcock,AUSTRALIA,no_info,,
Malcolm Williamson,AUSTRALIA,no_info,,
David Worrall,AUSTRALIA,no_info,born 1954,
Yitzhak Yedid,AUSTRALIA,no_info,born 1971,
Alberto Zelman,AUSTRALIA,no_info,1832,1907
Vasif Adigozalov,AZERBAIJAN,no_info,1935,2006
Franghiz Ali-Zadeh,AZERBAIJAN,no_info,1947,
Fikret Amirov,AZERBAIJAN,no_info,1922,1984
Rafig Babayev,AZERBAIJAN,no_info,1937,1994
Afrasiyab Badalbeyli,AZERBAIJAN,no_info,1907,1976
Farhad Badalbeyli,AZERBAIJAN,no_info,1947,
Gara Garayev,AZERBAIJAN,no_info,1918,1982
Tofig Guliyev,AZERBAIJAN,no_info,1917,2000
Soltan Hajibeyov,AZERBAIJAN,no_info,1919,1974
Uzeyir Hajibeyov,AZERBAIJAN,no_info,1885,1948
Zulfugar Hajibeyov,AZERBAIJAN,no_info,1884,1950
Ismayil Hajiyev,AZERBAIJAN,no_info,1949,
Jovdat Hajiyev,AZERBAIJAN,no_info,1917,2002
Kamaladdin Heydarov,AZERBAIJAN,no_info,1961,
André Hossein,AZERBAIJAN,no_info,1905,1983
Haji Khanmammadov,AZERBAIJAN,no_info,1918,2005
Ella Leya,AZERBAIJAN,no_info,,
Muslim Magomayev,AZERBAIJAN,no_info,1885,1937
Arif Malikov,AZERBAIJAN,no_info,1933,
Eldar Mansurov,AZERBAIJAN,no_info,1952,
Aziza Mustafazadeh,AZERBAIJAN,no_info,1969,
Vagif Mustafazadeh,AZERBAIJAN,no_info,1940,1979
Niyazi,AZERBAIJAN,no_info,1912,1984
Hasan Enami Olya,AZERBAIJAN,no_info,1967,
Said Rustamov,AZERBAIJAN,no_info,1907,1983
Huseyngulu Sarabski,AZERBAIJAN,no_info,1879,1945
Asaf Zeynally,AZERBAIJAN,no_info,1909,1932
Shafiga Akhundova,AZERBAIJAN,no_info,1924,2013
Joseph Abaco,BELGIUM,Classical,1710,1805
Jean Absil,BELGIUM,Classical,1893,1974
Jean-Baptiste Accolay,BELGIUM,Classical,1833,1900
Emmanuel Adriaenssen,BELGIUM,Classical,c. 1554,1604
Alexander Agricola,BELGIUM,Classical,1445/1446,1506
Flor Alpaerts,BELGIUM,Classical,1876,1954
Charles-François Angelet,BELGIUM,Classical,1797,1832
Jacobus Barbireau,BELGIUM,Classical,1455,1491
Pierre Bartholomée,BELGIUM,Classical,born 1937,
Peter Benoit,BELGIUM,Classical,1834,1901
Charles Auguste de Bériot,BELGIUM,Classical,1802,1870
René Bernier,BELGIUM,Classical,1905,1984
Adolphe Biarent,BELGIUM,Classical,1871,1916
Gilles Binchois,BELGIUM,Classical,c. 1400,1460
André-Joseph Blavier,BELGIUM,Classical,1713,1782
Jan Blockx,BELGIUM,Classical,1851,1912
August de Boeck,BELGIUM,Classical,1865,1937
Philippe Boesmans,BELGIUM,Classical,born 1936,
Nicolas Bosret,BELGIUM,Classical,1799,1876
Josse Boutmy,BELGIUM,Classical,1697,1779
Johannes Brassart,BELGIUM,Classical,c. 1400/1405,1455
Louis Brassin,BELGIUM,Classical,1840,1884
Dirk Brossé,BELGIUM,Classical,born 1960,
Antoine Busnois,BELGIUM,Classical,c. 1430,1492
Luc Brewaeys,BELGIUM,Classical,1959,2015
Peter Cabus,BELGIUM,Classical,1923,2000
Joseph Callaerts,BELGIUM,Classical,1838,1901
Ivan Caryll,BELGIUM,Classical,1861,1921
Jean de Castro,BELGIUM,Classical,c. 1540,1611
Lambert Chaumont,BELGIUM,Classical,c. 1635,1712
Johannes Ciconia,BELGIUM,Classical,c. 1370,1412
Jacob Clemens non Papa,BELGIUM,Classical,c. 1510/1515,c. 1555
Loyset Compère,BELGIUM,Classical,c. 1445,1518
Peeter Cornet,BELGIUM,Classical,c. 1570/1580,1633
Thomas Crecquillon,BELGIUM,Classical,c. 1505,1557
Henri-Jacques de Croes,BELGIUM,Classical,1705,1786
Didier van Damme,BELGIUM,Classical,born 1929,
Daniel Danielis,BELGIUM,Classical,1635,1696
Arthur De Greef,BELGIUM,Classical,1862,1940
Jean De Latre,BELGIUM,Classical,c. 1505/1510,1569
